movie;year;gross;director_likes;actor_likes;cast_likes;social_media;facenumber;imdb;budget
Battleship;2012;65173160;532;24627;26679;9;0;5.9;209000000
Jack the Giant Slayer;2013;65171860;0;1676;1766;3;1;6.3;195000000
The Visit;2015;65069140;0;840;1010;1;;6.2;5000000
Wolf;1994;65012000;0;904;1439;2;1;6.2;70000000
About Schmidt;2002;65010106;729;1108;1556;3;1;7.2;30000000
Exodus: Gods and Kings;2014;65007045;0;24641;26490;9;0;6.1;140000000
Exodus: Gods and Kings;2014;65007045;0;24640;26489;9;0;6.1;140000000
The American President;1995;65000000;0;1493;2668;3;0;6.8;62000000
Pitch Perfect;2012;64998368;36;11497;12676;7;4;7.2;17000000
Barbershop 2: Back in Business;2004;64955956;8;1925;3956;5;4;5.7;18000000
Mirror Mirror;2012;64933670;763;9695;11454;7;1;5.6;85000000
Stuart Little 2;2002;64736114;50;2222;2682;4;0;5.4;120000000
Now You See Me 2;2016;64685359;209;22886;23031;9;6;6.9;90000000
L.A. Confidential;1997;64604977;161;18608;19129;8;2;8.3;35000000
Chronicle;2012;64572496;128;1799;2054;3;0;7.1;12000000
The Happening;2008;64505912;0;12697;13654;7;0;5;48000000
Flushed Away;2006;64459316;42;34586;35161;10;0;6.7;149000000
The Purge;2013;64423650;65;2287;3708;5;0;5.7;3000000
Miracle;2004;64371181;149;1506;1845;3;0;7.5;28000000
Jackass: The Movie;2002;64267897;79;1188;1770;2;0;6.6;5000000
The Amityville Horror;2005;64255243;15;120000;120797;10;0;6;19000000
The Nut Job;2014;64238770;7;17691;18795;8;0;5.8;42000000
Down to Earth;2001;64172251;129;2430;2911;5;1;5.4;30000000
17 Again;2009;64149837;23;4651;7009;6;1;6.4;20000000
Diary of a Wimpy Kid;2010;64001297;87;18544;20154;8;1;6.2;15000000
Happy Feet 2;2011;63992328;750;60988;62644;10;0;5.9;135000000
Sky High;2005;63939454;31;2280;2968;4;3;6.2;35000000
Last Vegas;2013;63910583;226;33966;35694;10;2;6.6;28000000
In & Out;1997;63826569;0;20902;23504;9;0;6.3;35000000
Mona Lisa Smile;2003;63695760;179;12403;12850;7;1;6.4;65000000
Thunderball;1965;63600000;92;610;1164;2;1;7;9000000
The Fifth Element;1997;63540020;0;37000;39319;10;2;7.7;93000000
Hope Springs;2012;63536011;64;18329;19420;8;2;6.3;30000000
The Time Traveler's Wife;2009;63411478;124;394;568;1;1;7.1;39000000
Tango & Cash;1989;63408614;96;13952;14432;8;1;6.3;55000000
She's All That;1999;63319509;7;25000;28734;9;2;5.8;10000000
Saw IV;2007;63270259;163;1822;3492;5;0;5.9;10000000
Madea's Family Reunion;2006;63231524;0;2592;5264;6;4;5;6000000
The Holiday;2006;63224849;278;17213;17423;8;3;6.9;85000000
The Sorcerer's Apprentice;2010;63143812;226;12788;13388;7;0;6.1;150000000
Beavis and Butt-Head Do America;1996;63071133;406;15616;17035;8;0;6.8;12000000
The Boss;2016;63034755;265;23044;23562;9;1;5.3;29000000
The Last Song;2010;62933793;30;1420;2341;3;1;5.8;20000000
Forgetting Sarah Marshall;2008;62877175;89;16319;16758;8;1;7.2;30000000
Moonraker;1979;62700000;43;623;1008;1;2;6.3;34000000
Jarhead;2005;62647540;0;15593;15850;8;0;7.1;70000000
Black Mass;2015;62563543;108;62000;63769;10;7;7;53000000
The Crying Game;1992;62549000;277;1857;2412;4;0;7.3;2300000
The Fast and the Furious: Tokyo Drift;2006;62494975;681;970;1235;2;5;6;85000000
The Adjustment Bureau;2011;62453315;53;14556;14607;8;2;7.1;50200000
London Has Fallen;2016;62401264;24;19856;20276;9;3;5.9;60000000
Underworld: Awakening;2012;62321039;24;5651;5861;6;1;6.4;70000000
Underworld: Evolution;2006;62318875;235;2321;2998;5;1;6.8;50000000
For Your Eyes Only;1981;62300000;46;1490;2118;3;1;6.8;28000000
The Wolfman;2010;61937495;394;12652;13071;7;0;5.8;150000000
Miracles from Heaven;2016;61693523;36;6579;7833;7;0;6.8;13000000
Ender's Game;2013;61656849;151;12065;12908;7;4;6.7;110000000
Cinderella Man;2005;61644321;2000;1872;2523;5;0;8;88000000
Flatliners;1990;61490000;541;9442;10493;7;5;6.6;26000000
National Lampoon's Vacation;1983;61400000;11000;2135;3617;7;1;7.4;15000000
Stomp the Yard;2007;61356221;41;2571;3544;5;0;5.2;14000000
The Saint;1997;61355436;176;393;475;1;0;6.2;68000000
The Cell;2000;61280963;763;1674;2474;4;1;6.3;33000000
The Shaggy Dog;2006;61112916;48;22658;24664;9;0;4.4;50000000
Unknown;2011;61094903;174;15670;17152;8;3;6.9;30000000
Unknown;2011;61094903;174;15669;17151;8;3;6.9;30000000
The Devil's Advocate;1997;60984028;138;41000;45271;10;2;7.5;57000000
Prisoners;2013;60962878;777;36000;37321;10;2;8.1;46000000
Get Him to the Greek;2010;60923325;89;1732;2091;3;2;6.4;50000000
Mission to Mars;2000;60874615;0;4214;4902;6;0;5.6;90000000
Coyote Ugly;2000;60786269;18;1996;3106;4;5;5.6;45000000
Poseidon;2006;60655503;249;89702;92456;10;0;5.6;160000000
Three Kings;1999;60652036;737;2883;3743;5;1;7.1;48000000
Jingle All the Way;1996;60573641;32;2108;4530;5;1;5.4;60000000
After Earth;2013;60522097;0;11837;14168;7;0;4.9;130000000
Fantasia 2000;1999;60507228;11;645;814;1;0;7.3;80000000
Kiss the Girls;1997;60491560;39;12641;14322;7;1;6.6;27000000
Shanghai Knights;2003;60470220;71;340;428;1;2;6.2;50000000
The Lucky One;2012;60443237;96;1137;1852;2;0;6.5;25000000
The Wedding Planner;2001;60400856;163;13968;17533;8;2;5.2;35000000
Burn After Reading;2008;60338891;1000;35681;36093;10;0;7;37000000
Scrooged;1988;60328558;503;15000;18734;8;1;7;32000000
Baby Mama;2008;60269340;5;3966;6930;6;2;6;30000000
The Cable Guy;1996;60154431;0;3302;3718;5;1;6;47000000
Resident Evil: Afterlife;2010;60128566;545;15529;16098;8;1;5.9;60000000
Why Did I Get Married Too?;2010;60072596;0;3628;6657;6;8;4.4;20000000
Bad Santa;2003;60057639;72;2190;3151;5;2;7.1;18000000
Species;1995;60054449;79;1684;1715;3;0;5.8;35000000
Hope Floats;1998;60033780;0;2146;2860;4;1;5.9;30000000
Snow Day;2000;60008303;13;1342;2241;3;1;4.9;13000000
Superman III;1983;60000000;44;1555;2329;3;1;4.9;39000000
Br�no;2009;59992760;119;1322;2134;3;1;5.8;42000000
Little Miss Sunshine;2006;59889948;36;7177;7227;7;1;7.9;8000000
My Girl;1991;59847242;6;5165;5433;6;1;6.8;16500000
Predator;1987;59735548;323;2794;4223;5;1;7.8;15000000
Secretariat;2010;59699513;130;1890;2259;4;0;7.2;35000000
Son of God;2014;59696176;25;518;775;1;1;5.6;22000000
The Dictator;2012;59617068;119;1120;1375;2;0;6.4;65000000
Gothika;2003;59588068;326;21950;22318;9;1;5.8;40000000
My Big Fat Greek Wedding 2;2016;59573085;52;1140;2259;3;10;6.1;18000000
The Stepford Wives;2004;59475623;0;13465;13748;7;1;5.2;90000000
Love Actually;2003;59365105;628;28548;28886;9;9;7.7;45000000
The Grand Budapest Hotel;2014;59073773;0;14670;15082;8;0;8.1;25000000
Behind Enemy Lines;2001;59068786;212;1530;2544;4;2;6.4;40000000
Hellboy;2004;59035104;0;860;1112;2;1;6.8;66000000
Courage Under Fire;1996;58918501;380;31826;33233;10;1;6.6;46000000
Dawn of the Dead;2004;58885635;0;6000;10438;7;0;7.4;26000000
Dawn of the Dead;2004;58885635;0;6000;10438;7;0;7.4;26000000
Vacation;2015;58879132;0;38816;40312;10;4;6.1;31000000
Surf's Up;2007;58867694;9;23970;25590;9;0;6.8;100000000
Chariots of Fire;1981;58800000;46;920;1651;2;0;7.2;5500000
Bride Wars;2009;58715510;56;12371;13794;7;2;5.4;30000000
Water for Elephants;2011;58700247;508;33000;36062;10;1;6.9;38000000
RoboCop;2014;58607007;294;13000;14161;7;0;6.2;100000000
RoboCop;2014;58607007;294;13000;14160;7;0;6.2;100000000
Sea of Love;1989;58571513;17;15150;15914;8;1;6.8;19000000
Death Becomes Her;1992;58422650;0;24812;25599;9;3;6.4;55000000
Easy A;2010;58401464;87;16424;16982;8;1;7.1;8000000
Curious George;2006;58336565;5;11000;11124;7;0;6.6;50000000
Open Range;2003;58328680;0;4341;5458;6;0;7.5;22000000
Anastasia;1997;58297830;383;5561;6017;6;1;7.1;50000000
Littleman;2006;58255287;322;2564;6334;6;1;4.3;64000000
The Secret Life of Walter Mitty;2013;58229120;0;4229;5095;6;1;7.3;90000000
Bicentennial Man;1999;58220776;0;50957;55254;10;0;6.8;100000000
Ali;2001;58183966;0;11631;14196;7;1;6.8;107000000
Without a Paddle;2004;58156435;65;1068;1266;2;3;5.9;19000000
Step Up 2: The Streets;2008;58006147;209;439;816;1;2;6.2;23000000
The Lincoln Lawyer;2011;57981889;65;12618;13943;7;1;7.3;40000000
Shall We Dance;2004;57887882;23;2011;2325;4;2;6.1;50000000
Red Eye;2005;57859105;0;795;1090;2;0;6.5;26000000
Cleopatra;1963;57750000;311;2261;2957;5;2;7;31115000
Takers;2010;57744720;34;28000;31529;10;5;6.2;20000000
The Benchwarmers;2006;57651794;221;12523;13125;7;2;5.6;33000000
The Chronicles of Riddick;2004;57637485;123;15417;17159;8;0;6.7;105000000
Boyz n the Hood;1991;57504069;309;68;106;1;2;7.8;6000000
Pet Sematary;1989;57469179;52;2281;2987;4;0;6.6;11500000
Moulin Rouge!;2001;57386369;1000;2344;2601;5;1;7.6;52500000
Blood Diamond;2006;57366262;380;32452;33160;10;0;8;100000000
The Specialist;1994;57362581;49;13299;13331;7;2;5.4;45000000
The Godfather: Part II;1974;57300000;0;39000;39960;10;1;9;13000000
The Whole Nine Yards;2000;57262492;36;15900;17582;8;4;6.7;24000000
Next Friday;2000;57176582;41;1954;3939;5;1;6.1;9500000
Escape from Planet Earth;2013;57011847;7;3281;3361;5;2;5.9;40000000
Memoirs of a Geisha;2005;57010853;252;1780;2380;4;1;7.3;85000000
Shanghai Noon;2000;56932305;9;690;939;1;2;6.6;55000000
The Man in the Iron Mask;1998;56876365;130;29210;29265;9;1;6.4;35000000
Midnight in Paris;2011;56816662;11000;1004;1289;6;1;7.7;17000000
Saw V;2008;56729973;43;4080;5286;6;0;5.8;10800000
American Reunion;2012;56724080;22;5000;8398;6;7;6.7;50000000
2001: A Space Odyssey;1968;56715371;0;463;727;1;0;8.3;12000000
A Civil Action;1998;56702901;234;4073;4713;6;1;6.5;60000000
The Time Machine;2002;56684819;25;1632;1919;3;0;5.9;80000000
12 Years a Slave;2013;56667870;0;3160;4251;6;0;8.1;20000000
Clueless;1995;56631572;143;1409;1724;3;1;6.8;12000000
Rat Race;2001;56607223;109;1669;1823;3;8;6.4;48000000
Lights Out;2016;56536016;26;2809;3344;5;0;6.9;4900000
Tombstone;1993;56505065;170;3194;4453;6;0;7.8;25000000
Joy;2015;56443482;737;70000;75793;10;3;6.6;60000000
The Queen;2006;56437947;350;413;486;1;0;7.3;9800000
Drumline;2002;56398162;30;1839;2390;4;0;5.7;20000000
Edward Scissorhands;1990;56362352;13000;41625;42330;10;0;7.9;20000000
Me Before You;2016;56154094;17;21418;21852;9;0;7.6;20000000
Just Married;2003;56127162;189;1114;2020;3;2;5.4;18000000
Fantastic Four;2015;56114221;128;1034;1261;2;3;4.3;120000000
Fantastic Four;2015;56114221;128;1034;1261;2;3;4.3;120000000
A Knight's Tale;2001;56083966;241;16996;18761;8;1;6.9;65000000
The Curse of the Were-Rabbit;2005;56068547;9;936;1145;2;0;7.5;30000000
13 Going on 30;2004;56044241;56;5533;6742;6;1;6.1;37000000
ParaNorman;2012;55994557;28;11470;13597;7;0;7;60000000
Romeo Must Die;2000;55973336;43;6623;9082;7;1;6.1;25000000
Dracula Untold;2014;55942830;28;4115;5178;6;1;6.3;70000000
White Noise;2005;55865715;13;1254;2013;3;0;5.5;10000000
Once Upon a Time in Mexico;2003;55845943;0;44876;46186;10;1;6.4;29000000
Be Cool;2005;55808744;473;13680;15889;8;4;5.7;53000000
Friends with Benefits;2011;55802754;87;18923;20956;9;2;6.6;35000000
The Animal;2001;55762229;42;859;1203;2;1;4.8;22000000
Free Birds;2013;55747724;39;2153;3104;4;1;5.9;55000000
Hansel & Gretel: Witch Hunters;2013;55682070;75;10987;11946;7;2;6.1;50000000
Legend of the Guardians: The Owls of Ga'Hoole;2010;55673333;0;3230;4286;6;1;7;80000000
Eyes Wide Shut;1999;55637680;0;11101;11424;7;1;7.3;65000000
Snake Eyes;1998;55585389;0;13551;15269;8;1;5.9;69000000
Never Say Never Again;1983;55500000;883;485;762;2;3;6.2;36000000
Alien 3;1992;55473600;21000;1050;1543;7;0;6.4;50000000
Bad Moms;2016;55461307;24;16851;18786;8;9;6.7;20000000
Bad Moms;2016;55461307;24;16851;18786;8;9;6.7;20000000
What Dreams May Come;1998;55350897;25;49577;49631;10;1;7;85000000
Neighbors 2: Sorority Rising;2016;55291815;89;17519;17860;8;0;6;35000000
Star Trek V: The Final Frontier;1989;55210049;0;13307;14710;7;1;5.4;27800000
Why Did I Get Married?;2007;55184721;0;3328;6510;6;8;5.6;15000000
Saw;2004;55153403;0;3529;5161;6;0;7.7;1200000
I Am Number Four;2011;55092830;154;15492;15608;8;1;6.1;60000000
Don't Say a Word;2001;54997476;39;2389;3341;5;0;6.3;50000000
Spawn;1997;54967359;20;4968;7039;6;0;5.2;40000000
The Jackal;1997;54910560;105;37460;38227;10;0;6.3;60000000
Ordinary People;1980;54800000;0;3088;5122;6;3;7.8;6000000
This Means War;2012;54758461;368;28520;29808;9;3;6.3;65000000
Project X;2012;54724272;166;1581;2043;3;0;6.7;12000000
Starship Troopers;1997;54700065;719;1558;2031;4;0;7.2;105000000
Source Code;2011;54696902;0;15846;16034;8;3;7.5;32000000
Crash;2004;54557348;549;4823;5732;6;0;7.9;6500000
Crash;2004;54557348;549;4823;5732;6;0;7.9;6500000
New Year's Eve;2011;54540525;0;23295;23456;9;15;5.7;56000000
Horrible Bosses 2;2014;54414716;51;29465;30571;10;7;6.3;42000000
The Woman in Black;2012;54322273;43;11585;11946;7;0;6.4;17000000
The Shallows;2016;54257433;174;971;971;2;0;6.8;17000000
Evil Dead;2013;54239856;201;602;673;1;0;6.5;17000000
The Hundred-Foot Journey;2014;54235441;529;1192;1484;3;3;7.3;22000000
The Count of Monte Cristo;2002;54228104;58;16720;17152;8;1;7.7;35000000
The Abyss;1989;54222000;0;3288;4074;5;0;7.6;69500000
La Bamba;1987;54215416;7;813;936;1;1;6.8;6500000
The Blues Brothers;1980;54200000;644;2135;2566;4;1;7.9;27000000
TMNT;2007;54132596;14;15691;16571;8;0;6.3;34000000
The Hateful Eight;2015;54116191;16000;48000;49912;10;1;7.9;44000000
Final Destination 3;2006;54098051;70;1104;2420;3;0;5.8;25000000
The Verdict;1982;54000000;0;1820;2330;3;0;7.8;16000000
Insidious;2010;53991137;0;2058;3030;4;1;6.8;1500000
Small Soldiers;1998;53955614;287;5658;8610;7;0;6.1;40000000
Paranormal Activity 4;2012;53884821;24;467;799;1;0;4.6;5000000
Austin Powers: International Man of Mystery;1997;53868030;116;8984;10557;7;2;7;17000000
Tin Cup;1996;53854588;41;2633;3648;5;0;6.3;45000000
Focus;2015;53846915;43;11329;11943;7;0;6.6;50100000
Paycheck;2003;53789313;610;2330;3637;5;0;6.3;60000000
Rambo III;1988;53715611;10;14349;14574;8;1;5.7;63000000
P.S. I Love You;2007;53680848;98;18668;18726;8;1;7.1;30000000
3:10 to Yuma;2007;53574088;446;31600;33548;10;1;7.8;55000000
Corpse Bride;2005;53337608;13000;56973;60683;10;1;7.4;40000000
Final Destination;2000;53302314;70;2438;3345;5;1;6.7;23000000
Sleepers;1996;53300852;272;33893;37076;10;3;7.5;44000000
The Devil Inside;2012;53245055;19;700;988;1;0;4.2;1000000
RED 2;2013;53215979;23;25110;25220;9;7;6.7;84000000
Eye for an Eye;1996;53146000;154;2313;3174;5;1;6.1;20000000
Arachnophobia;1990;53133888;155;963;1440;2;0;6.3;31000000
The Prestige;2006;53082743;22000;62000;63986;10;1;8.5;40000000
Letters to Juliet;2010;53021560;56;980;1026;2;1;6.5;30000000
Blow;2001;52937130;47;41877;43453;10;1;7.6;30000000
My Cousin Vinny;1992;52929168;36;2174;3280;5;1;7.5;11000000
Varsity Blues;1999;52885587;48;23290;23369;9;0;6.4;16000000
13 Hours;2016;52822418;0;2176;3580;5;0;7.4;50000000
Message in a Bottle;1999;52799004;43;19014;19815;8;0;6.1;55000000
The BFG;2016;52792307;14000;1293;1950;7;0;6.8;140000000
Unfaithful;2002;52752475;213;1803;2583;4;0;6.7;50000000
Four Weddings and a Funeral;1994;52700832;179;1637;1862;3;4;7.1;4500000
Diary of a Wimpy Kid: Rodrick Rules;2011;52691009;42;2101;3567;5;2;6.6;21000000
Kicking & Screaming;2005;52580895;58;25000;27351;9;1;5.6;45000000
No Good Deed;2014;52543632;12;1679;2297;3;2;5.6;13200000
A Madea Christmas;2013;52528330;0;1896;3202;4;0;4.7;25000000
Wall Street: Money Never Sleeps;2010;52474616;0;1512;1579;2;2;6.3;70000000
Southpaw;2015;52418902;845;16424;16881;8;0;7.5;30000000
Blade: Trinity;2004;52397389;687;17957;19764;8;0;5.9;65000000
The Royal Tenenbaums;2001;52353636;0;14327;14609;8;1;7.6;21000000
The Lake House;2006;52320979;18;18637;18693;8;0;6.8;40000000
The Color of Money;1986;52293982;17000;11608;11895;9;1;7;13800000
Stand by Me;1986;52287414;0;431;644;1;2;8.1;8000000
Radio;2003;52277485;19;2330;4231;5;1;6.9;35000000
Insidious: Chapter 3;2015;52200504;482;1876;2426;4;0;6.1;10000000
Selma;2014;52066000;151;2852;3869;5;0;7.5;20000000
South Park: Bigger Longer & Uncut;1999;52008288;406;2094;3003;5;1;7.8;21000000
Predators;2010;52000688;190;3520;4243;6;0;6.4;40000000
The Call;2013;51872378;122;1717;2812;4;0;6.7;13000000
The Odd Life of Timothy Green;2012;51853450;54;5988;9069;7;0;6.6;25000000
Funny People;2009;51814190;0;11691;11852;7;1;6.4;75000000
Ghost Rider: Spirit of Vengeance;2011;51774002;83;14000;16121;8;1;4.3;57000000
Finding Forrester;2000;51768623;835;1265;1801;3;1;7.3;43000000
Exit Wounds;2001;51758599;43;3655;5942;6;0;5.5;33000000
I Can Do Bad All by Myself;2009;51697449;0;1132;1465;2;6;4.1;13000000
Finding Neverland;2004;51676606;395;56000;58823;10;1;7.8;25000000
Amadeus;1984;51600000;869;1883;3076;5;0;8.3;18000000
The Grey;2011;51533608;248;15524;16606;8;1;6.8;25000000
My Bloody Valentine;2009;51527787;71;11685;14159;7;0;5.5;15000000
Underworld;2003;51483949;235;1653;1777;3;0;7;22000000
Identity;2003;51475962;446;2532;3969;5;0;7.3;30000000
Like Mike;2002;51432423;13;2726;3679;5;7;5.1;30000000
A Cinderella Story;2004;51431160;15;2380;3092;5;2;5.9;20000000
Enemy at the Gates;2001;51396781;218;5064;5103;6;1;7.6;68000000
DragonHeart;1996;51317350;357;2703;2710;5;0;6.4;57000000
The Phantom of the Opera;2004;51225796;541;19423;20660;9;0;7.4;70000000
The Living Daylights;1987;51185897;46;793;1233;2;1;6.7;30000000
Muppets Most Wanted;2014;51178893;33;5518;6089;6;4;6.4;50000000
Naked Gun 33 1/3: The Final Insult;1994;51109400;88;3807;4767;6;5;6.4;30000000
Goldfinger;1964;51100000;82;766;1198;2;2;7.8;3000000
Hide and Seek;2005;51097664;21;23129;23328;9;0;5.9;30000000
Hoodwinked!;2005;51053787;19;12833;14385;7;1;6.5;17500000
Up Close & Personal;1996;51045801;50;2616;3653;5;2;6.1;60000000
The Hitchhiker's Guide to the Galaxy;2005;51019112;37;13651;14073;7;0;6.8;50000000
Atonement;2007;50921738;456;20286;20499;9;1;7.8;30000000
Ouija;2014;50820940;10;2263;5056;5;0;4.4;5000000
The Tale of Despereaux;2008;50818750;18;11903;13403;7;0;6.1;60000000
Syriana;2005;50815288;79;14317;14747;8;0;7;50000000
Syriana;2005;50815288;79;14317;14747;8;0;7;50000000
The Boxtrolls;2014;50807639;7;2184;3151;4;3;6.8;60000000
The Road to El Dorado;2000;50802661;10;3361;3372;5;1;6.9;95000000
A Bridge Too Far;1977;50800000;0;631;669;1;14;7.4;26000000
The Mighty Ducks;1992;50752337;65;1823;3362;4;8;6.4;10000000
Resident Evil: Apocalypse;2004;50740078;38;15625;16791;8;1;6.2;45000000
The Net;1995;50728000;34;1263;1725;2;0;5.8;22000000
The Crow;1994;50693162;295;1681;2630;4;0;7.6;23000000
The Hurricane;1999;50668906;278;19078;20516;9;0;7.6;38000000
Resident Evil: Extinction;2007;50648679;85;15149;16225;8;1;6.3;45000000
Mighty Joe Young;1998;50628009;31;9868;10731;7;0;5.6;90000000
Music and Lyrics;2007;50562555;30;2153;2787;4;4;6.5;38000000
Jack Ryan: Shadow Recruit;2014;50549107;0;1221;1411;2;3;6.2;60000000
If I Stay;2014;50461335;15;18602;20466;8;3;6.8;11000000
Diary of a Mad Black Woman;2005;50382128;0;2020;2723;4;0;5.6;5500000
A View to a Kill;1985;50300000;46;1872;2943;4;2;6.3;30000000
Hot Tub Time Machine;2010;50213619;38;1204;1272;2;8;6.4;36000000
The Tuxedo;2002;50189179;11;1753;2018;3;2;5.3;60000000
K-PAX;2001;50173190;34;31000;33615;10;1;7.4;48000000
The Book of Life;2014;50150619;34;18674;19513;8;1;7.3;50000000
Breakdown;1997;50129186;84;1098;1874;2;0;6.9;36000000
Stigmata;1999;50041732;9;2123;3004;4;0;6.2;29000000
Home on the Range;2004;50026353;6;12934;13607;7;0;5.4;110000000
Under Siege 2: Dark Territory;1995;50024083;14;1797;2318;3;1;5.4;60000000
Last Action Hero;1993;50016394;323;1442;2407;3;1;6.2;70000000
Absolute Power;1997;50007168;16000;17826;19139;9;0;6.7;50000000
Little Women;1994;50003300;44;27902;29370;9;4;7.3;15000000
Fiddler on the Roof;1971;50000000;278;796;934;2;0;8;9000000
Evita;1996;49994804;317;131;164;1;1;6.3;55000000
Serendipity;2001;49968653;23;26;37;1;0;6.9;28000000
Red Tails;2012;49875589;143;2183;4416;5;0;5.9;58000000
Pain & Gain;2013;49874933;0;12797;13573;7;4;6.5;26000000
Legal Eagles;1986;49851591;425;1726;2179;4;3;5.9;40000000
Major League;1989;49797148;42;2662;3435;5;3;7.2;11000000
Australia;2008;49551662;1000;758;921;2;0;6.6;130000000
Old Dogs;2009;49474048;12;50931;53370;10;2;5.4;35000000
Land of the Lost;2009;49392095;52;9261;10552;7;1;5.4;100000000
A Nightmare on Elm Street 4: The Dream Master;1988;49369900;212;309;450;1;0;5.7;7000000
Racing Stripes;2005;49186871;7;2439;2910;4;0;5.2;22000000
My Sister's Keeper;2009;49185998;415;1390;1775;3;2;7.4;30000000
The Possession;2012;49122319;30;1709;2348;3;0;5.9;14000000
The Possession;2012;49122319;30;1709;2348;3;0;5.9;14000000
This Christmas;2007;49121934;17;2909;6554;6;9;6.1;13000000
Michael Clayton;2007;49024969;209;2417;3284;5;0;7.3;25000000
Diary of a Wimpy Kid: Dog Days;2012;49002815;42;2061;3153;4;2;6.4;22000000
Men of Honor;2000;48814909;88;31975;36069;10;0;7.2;32000000
Firewall;2006;48745150;12;98935;101383;10;1;5.8;50000000
About Last Night;2014;48637684;38;2100;2800;4;4;6.1;12500000
Date Movie;2006;48546578;64;4598;6539;6;0;2.7;20000000
Miss Congeniality 2: Armed and Fabulous;2005;48472213;11;2401;4305;5;2;5;45000000
The Dilemma;2011;48430355;2000;18244;18510;8;2;5.3;70000000
Return to Never Land;2002;48423368;2;2111;3402;5;1;5.8;20000000
Just Like Heaven;2005;48291624;70;2316;2876;4;1;6.7;58000000
The Game;1997;48265581;21000;1072;1397;7;1;7.8;50000000
The House Bunny;2008;48237389;29;16668;18789;8;1;5.5;25000000
Malcolm X;1992;48169908;0;19166;20143;9;0;7.7;33000000
G.I. Jane;1997;48154732;0;12957;15569;8;1;5.8;50000000
Fat Albert;2004;48114556;38;2272;4604;5;1;4.3;26000000
The Land Before Time;1988;48092846;383;1423;1833;3;0;7.3;12500000
Speed 2: Cruise Control;1997;48068396;101;1243;2027;3;0;3.7;160000000
Sinister;2012;48056940;301;1831;2239;4;0;6.8;3000000
Kick-Ass;2010;48043505;905;1426;2357;4;1;7.7;30000000
Nim's Island;2008;48006503;3;18117;18178;8;3;6;37000000
The Huntsman: Winter's War;2016;47952020;19;46000;46719;10;2;6.1;115000000
The Jungle Book 2;2003;47887943;0;3839;4480;6;0;5.4;20000000
When a Stranger Calls;2006;47860214;165;1814;2452;4;0;5;15000000
Premonition;2007;47852604;9;1559;1825;3;0;5.9;20000000
Big Fat Liar;2002;47811275;189;2660;3707;5;1;5.4;15000000
Big Fat Liar;2002;47811275;189;2660;3707;5;1;5.4;15000000
The Skeleton Key;2005;47806295;34;1176;1274;2;0;6.5;43000000
Secret Window;2004;47781388;192;41035;41293;10;1;6.6;40000000
Alien: Resurrection;1997;47748610;0;2392;3090;5;0;6.3;75000000
The Rundown;2003;47592825;532;15557;16930;8;1;6.7;85000000
Into the Storm;2014;47553512;77;947;1367;2;0;5.8;50000000
Precious;2009;47536959;304;2582;3277;5;0;7.3;10000000
Precious;2009;47536959;304;2581;3276;5;0;7.3;10000000
Volcano;1997;47474112;81;4255;5062;6;0;5.4;90000000
The Kingdom;2007;47456450;532;4099;5187;6;1;7.1;70000000
Kingdom of Heaven;2005;47396698;0;19195;19600;8;1;7.2;130000000
Munich;2005;47379090;14000;1643;2529;7;0;7.6;70000000
Jupiter Ascending;2015;47375327;0;45000;47334;10;1;5.4;176000000
Savages;2012;47307550;0;1616;1948;3;4;6.5;45000000
Agent Cody Banks;2003;47285499;91;2368;3037;5;3;5;26000000
Hostel;2005;47277326;0;2581;2990;5;0;5.9;4800000
Nanny McPhee;2005;47124400;52;16579;17278;8;0;6.6;25000000
The Judge;2014;47105085;71;27000;30183;9;1;7.4;50000000
Kate & Leopold;2001;47095453;446;21821;22209;9;1;6.4;48000000
Jersey Boys;2014;47034272;16000;1528;2281;7;1;6.9;40000000
Killers;2010;47000485;126;20925;25206;9;2;5.4;75000000
Halloween;1978;47000000;0;3340;4400;6;0;7.9;300000
Halloween;1978;47000000;0;3340;4400;6;0;7.9;300000
Halloween;1978;47000000;0;3340;4400;6;0;7.9;300000
Silent Hill;2006;46982632;50;1855;1933;3;0;6.6;50000000
Warcraft;2016;46978995;0;4364;5505;6;0;7.3;160000000
Shooter;2007;46975183;845;1412;1640;3;0;7.2;61000000
Sicario;2015;46875468;777;895;1467;3;2;7.6;30000000
Goodfellas;1990;46836394;17000;23489;24783;10;3;8.7;25000000
The River Wild;1994;46815748;161;12026;12161;7;1;6.3;45000000
How to Be Single;2016;46813366;11;3347;4882;6;4;6.1;38000000
The Spy Who Loved Me;1977;46800000;43;938;1326;2;2;7.1;14000000
Dude Where's My Car?;2000;46729374;8;4546;6454;6;2;5.5;13000000
Firefox;1982;46700000;16000;16497;16805;9;1;5.9;21000000
Practical Magic;1998;46611204;165;2911;4294;5;1;6.1;48000000
Phone Booth;2002;46563158;541;1784;2562;4;0;7.1;13000000
Final Destination 2;2003;46455802;160;1579;3172;4;0;6.2;26000000
Arthur Christmas;2011;46440491;6;2140;2707;4;1;7.1;100000000
The Best Exotic Marigold Hotel;2011;46377022;108;1586;1898;3;3;7.3;10000000
Boogeyman;2005;46363118;19;1267;1383;2;0;4.1;20000000
Romeo + Juliet;1996;46338728;1000;30954;33791;10;2;6.8;14500000
It's a Mad Mad Mad Mad World;1963;46300000;176;2582;4109;5;0;7.6;9400000
Blended;2014;46280507;153;46734;49743;10;0;6.5;40000000
